date,Revenues,Income,Taxes,Income tax,Profit tax,Value added tax,Excise duty,Import tax,Other taxes,Grants,Other revenues,interest,Dividends,Rent,Sale of goods and services,Sanctions (fines and penalties),Voluntary transfers other than grants,Decrease in non-financial assets,Fixed assets,Inventories,Valuables,Non-produced assets,Decrease in financial assets,Loans,Shares and other equity,Increase in liabilities,Domestic,Foreign,Expenditure,Compensation of employees,Goods and services,Interest,Subsidies,Social security,Other expenses,Increase in non-financial assets,Increase in financial assets,Decrease in liabilities,State budget balance,From domestic products,From imported products,is_weekend,is_holiday
2015-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486685600.09,0.0,0.0,1,0
2015-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486685600.09,0.0,0.0,1,0
2015-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486685600.09,0.0,0.0,0,1
2015-01-20,40018002.47,39990987.21,36929147.15,7540381.14,1222509.25,21353290.48,6006868.85,628379.79,177367.64,34372234.51,3049922.94,2177696.54,0.0,647.61,146201.19,460140.2,1085.0,539.95,181.55,0.0,0.0,358.4,0.0,0.0,0.0,26475.31,0.0,26475.31,52454726.13,3277008.89,1549514.62,5358308.59,1207887.22,1464582.8,4496498.93,5250.58,0.0,735357.11,474249956.43,0.0,0.0,0,0
2015-01-21,29879265.75,25025330.83,24373421.7,7584725.4,620987.62,12373108.9,3469155.76,228852.38,96581.64,63212.72,589032.77,800.0,0.0,0.0,35082.78,187625.57,0.0,4838187.49,33.0,0.0,0.0,4838154.49,2482.42,2482.42,0.0,13265.01,0.0,13265.01,17741403.37,7192695.13,4330147.21,352500.0,1671297.96,2782790.07,987408.34,417868.1,0.0,6360.2,486387917.91,0.0,0.0,0,0
2015-01-22,19004225.48,18928242.63,18388228.3,6041406.63,1313532.82,9951515.79,877793.46,146429.02,57550.58,38514144.43,454781.81,0.0,0.0,20.0,75556.69,163850.5,0.0,395.5,19.0,0.0,0.0,376.5,66.73,0.0,0.0,75520.62,65018.4,10502.22,53983903.4,8583539.19,1175596.76,2171450.6,420604.96,2816316.79,203544.28,99828.32,0.0,84110.59,451410060.59,0.0,0.0,0,0
2015-01-23,38922282.14,38894720.71,37892074.8,10986594.38,878843.86,16118636.39,9567930.34,261559.72,74393.71,160112.46,842533.45,0.0,0.0,-5713.4,53370.68,217962.5,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,27549.43,0.0,27549.43,36243359.45,15938447.82,5914373.74,795555.05,940783.25,2810910.66,383668.15,3816098.29,0.0,5643522.49,454089133.28,0.0,0.0,0,0
2015-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454089133.28,0.0,0.0,1,0
2015-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454089133.28,0.0,0.0,1,0
2015-01-26,31682947.84,31404222.86,30581206.65,14661834.82,765832.46,11631319.16,2980148.34,424056.94,117964.93,236661.68,586354.53,0.0,0.0,160.21,104485.47,247980.64,0.0,2185.1,16.0,0.0,0.0,2169.1,0.0,0.0,0.0,276539.88,0.0,276539.88,59172591.69,48184347.94,2064950.95,4630000.0,474026.91,2142596.27,707340.24,685329.03,0.0,284000.35,426599542.39,0.0,0.0,0,0
2015-01-27,20262332.48,20173671.1,19474571.56,8020310.2,727557.65,7603649.08,2711297.45,328437.28,83244.9,165705.0,529983.31,0.0,0.0,0.0,83554.03,140473.63,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,88610.38,0.0,88610.38,37549068.11,15344418.71,4767667.73,0.0,492744.98,15882557.71,723188.6,109488.57,0.0,232413.04,409312806.77,0.0,0.0,0,0
2015-01-28,34057494.69,17528738.29,15916599.56,7620905.26,368323.15,6222282.24,1358961.18,293070.18,53057.55,2532456.0,1539348.03,997479.45,0.0,455.0,124721.39,211735.59,0.0,10398501.59,57.0,0.0,0.0,10398444.59,6032784.86,6032784.86,0.0,98604.95,0.0,98604.95,33994515.23,1632809.75,3606165.88,395901.0,797282.67,2904820.31,1567230.02,32540.61,18243.7,20579855.99,409375786.23,0.0,0.0,0,0
2015-01-29,111119677.72,50234291.77,18553247.48,8255068.81,743201.31,7587009.82,1670003.47,251765.69,46198.38,30141000.28,1564072.97,133382.01,0.0,1080.15,331728.83,200145.62,-198.0,31.0,31.0,0.0,0.0,0.0,834632.62,834632.62,0.0,60050722.33,59998132.91,52589.42,17644664.84,538643.51,1813121.22,5564.22,1183276.89,6832624.95,478210.3,3346547.47,2438000.0,984647.32,502850912.11,0.0,0.0,0,0
2015-01-30,35583186.62,32140903.79,30821316.43,17412353.81,2592313.63,9083827.11,1210319.66,469079.19,53378.03,505144.13,816724.72,0.0,0.0,2090.99,193899.84,177193.08,0.0,10855.9,10300.0,0.0,0.0,555.9,0.0,0.0,0.0,3431426.93,0.0,3431426.93,35508805.51,5316622.61,5790703.9,1401250.0,2851761.92,3424440.45,5051174.46,7658881.15,3750000.0,261689.53,502925493.22,0.0,0.0,0,0
2015-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502925493.22,0.0,0.0,1,0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502925493.22,0.0,0.0,1,0
2015-02-02,21279057.78,19000267.88,18126376.26,7603667.22,945831.09,7539738.01,1683425.54,299087.53,54626.87,58223.990000000005,822595.54,160740.53,0.0,360.0,175786.15,178313.99,0.0,380.33,5.0,0.0,0.0,375.33,0.0,0.0,0.0,2278409.57,0.0,2278409.57,6663152.5,185743.21,598603.67,2365000.0,240020.37,3110241.85,61349.2,73129.93,0.0,22136.36,517541398.5,0.0,0.0,0,0
2015-02-03,13682489.59,13647021.31,13138956.4,6972264.2,349590.6,4765268.92,686282.07,250964.45,114586.16,387707.23,466033.49,47801.82,0.0,0.0,86979.71,186945.02,0.0,268.5,3.0,0.0,0.0,265.5,0.0,0.0,0.0,35199.78,0.0,35199.78,35493746.44,47809.36,1644167.56,0.0,441114.91,1330185.75,30840028.39,512948.99,0.0,331815.67,495732270.04,0.0,0.0,0,0
2015-02-04,19396206.04,19384621.63,13256577.85,5185595.19,1429513.17,5777476.62,612417.41,214228.57,37196.44,533409.72,5594634.06,0.0,0.0,2266.25,5119117.92,248173.78,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11574.41,0.0,11574.41,34808350.72,891468.24,1136870.59,0.0,1319673.33,3494245.98,12463353.6,15496837.77,0.0,5901.21,480320209.5,0.0,0.0,0,0
2015-02-05,28420968.4,18182633.29,17423399.73,8082382.68,397789.72,6338760.7,2374587.21,194716.5,35162.92,293696.69,690067.07,0.0,0.0,0.0,220485.5,335623.25,-120.45,1855.85,18.0,0.0,0.0,1837.85,0.0,0.0,0.0,10236479.26,10022353.91,214125.35,7653186.09,202912.53,2752054.86,745816.58,591640.01,2467543.38,300176.85,367839.43,0.0,672.25,501087991.81,0.0,0.0,0,0
2015-02-06,22380755.09,22288158.66,21505895.35,6474937.12,480464.38,13013972.54,1172557.9,279880.07,84083.34,283467.96,502815.35,0.0,1000.0,120.99,38469.76,173971.54,0.0,71.0,11.0,0.0,0.0,60.0,0.0,0.0,0.0,92525.43,0.0,92525.43,9029239.69,42460.76,893912.38,2320000.0,1128012.77,2395030.44,356237.74,1232399.85,651849.67,5316.08,514439740.81,0.0,0.0,0,0
2015-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514439740.81,0.0,0.0,1,0
2015-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514439740.81,0.0,0.0,1,0
2015-02-09,19625765.89,19001122.32,18289293.75,4463002.13,911245.93,10579626.2,1784123.62,414716.55,136329.32,69403.81,642424.76,0.0,0.0,0.0,86476.33,265872.0,0.0,538.5,12.0,0.0,0.0,526.5,0.0,0.0,0.0,624105.07,0.0,624105.07,12013873.75,9255.24,6042720.26,0.0,443789.19,1403618.02,27654.88,3783117.9,93021.08,210697.18,522051632.95,0.0,0.0,0,0
2015-02-10,19933837.22,16588480.47,15917651.43,5143480.6,779140.78,8383209.81,1177323.71,411118.59,23377.94,87253.43,583575.61,2489.0,0.0,9001.0,52473.04,241204.33,0.0,420.0,0.0,0.0,0.0,420.0,4693.0,4693.0,0.0,3340243.75,0.0,3340243.75,141344135.19,43111.46,3031174.54,0.0,462838.19,135159704.31,278600.45,2364996.94,2081.8,1627.5,400641344.78,0.0,0.0,0,0
2015-02-11,17015405.42,16937710.03,16479275.45,3098383.51,501683.77,10192605.42,2218245.15,424740.6,39694.76,135648.38,366360.15,6530.16,0.0,0.0,78238.78,156212.81,0.0,-251.58,3097.82,0.0,0.0,-3349.4,61688.31,61688.31,0.0,16258.66,0.0,16258.66,13725235.44,11921.81,1578270.4,1877465.88,297566.58,3134199.26,521976.31,2301343.6,0.0,3958917.65,403933803.16,0.0,0.0,0,0
2015-02-12,95592033.95,20093979.08,19556766.35,2855789.31,489875.99,13717695.68,2201184.92,295953.69,-3775.92,1555727.16,445285.57,12003.29,0.0,1123.08,66283.23,232977.07,0.0,112.0,5.0,0.0,0.0,107.0,36594.0,36594.0,0.0,75461348.87,74998324.76,463024.11,8067802.01,6388.14,2859814.45,0.0,449581.43,3043439.81,86791.88,119671.48,35308.02,3006.8,491458698.3,0.0,0.0,0,0
2015-02-13,29832698.96,29730879.63,27385582.12,5641955.62,439364.16,19131678.26,1944656.66,195776.5,30650.6,358747.8,2197717.46,1733970.78,0.0,1183.72,96784.34,167329.75,0.0,10844.5,2.0,0.0,0.0,10842.5,61973.0,61973.0,0.0,29001.83,0.0,29001.83,9667403.11,49356.94,1889607.41,2290478.0,1085860.69,3369941.95,425485.39,307126.68,0.0,38378.3,511624985.15,0.0,0.0,0,0
2015-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511624985.15,0.0,0.0,1,0
2015-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511624985.15,0.0,0.0,1,0
2015-02-16,91842320.07,91780423.37,89301281.02,6870960.57,957313.12,71603928.1,9366998.84,391101.48,79465.04,4226140.93,2314531.31,1682797.08,0.0,12328.9,126297.34,156437.78,3000.0,207.6,6.0,0.0,0.0,201.6,0.0,0.0,0.0,61689.1,0.0,61689.1,16835319.65,18505.7,1861219.8,4207590.46,556831.75,3952429.08,1625414.31,390316.79,13705.7,147776.17,586631985.57,0.0,0.0,0,0
2015-02-17,30958320.07,29252707.4,27951633.04,4605600.4,557091.94,19728342.92,2723450.13,280369.46,56778.19,396665.61,906996.55,184371.42,0.0,0.0,186831.83,216338.77,0.0,315.25,16.0,0.0,0.0,299.25,22456.0,22456.0,0.0,1682841.42,0.0,1682841.42,32266320.57,43636.33,2149808.95,0.0,390248.28,26857081.05,1272801.81,1550156.35,0.0,0.0,585324181.07,0.0,0.0,0,0
2015-02-18,18417217.56,18357494.95,17661658.52,4029471.48,526876.09,9927176.75,2871459.89,211922.2,94752.11,4655250.36,680709.27,2990.0,0.0,502.62,184407.48,185021.38,0.0,3.0,3.0,0.0,0.0,0.0,11483.0,11483.0,0.0,48236.61,0.0,48236.61,11024855.27,20018.79,2013586.34,337500.0,221899.58,198376.54,2423658.57,1138934.12,0.0,30758.13,592717357.54,0.0,0.0,0,0
2015-02-19,2998984.21,11500398.04,10912583.06,2636901.68,1430684.03,5628550.61,747570.02,336767.51,132109.21,471620.08999999997,396194.89,2821.0,0.0,673.72,122184.41,167333.5,0.0,301.0,1.0,0.0,0.0,300.0,5806.0,5806.0,0.0,-8507520.83,-8602188.12,94667.29,12534449.57,79233.35,3504422.49,3467238.29,915309.97,3309402.38,385735.99,592686.1,0.0,421.0,583182892.18,0.0,0.0,0,0
2015-02-20,17316291.91,17313812.61,16564631.86,8536433.97,255262.29,5825168.93,1595726.55,224496.18,127543.94,7858055.9799999995,581211.2,0.0,0.0,1155.0,66021.24,236318.3,0.0,979.27,475.5,0.0,0.0,503.77,0.0,0.0,0.0,1500.03,0.0,1500.03,30959788.72,12979000.65,2823009.11,148847.2,2258694.53,2295776.99,2000763.38,672514.79,84668.15,6427.49,569540985.72,0.0,0.0,0,0
2015-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569540985.72,0.0,0.0,1,0
2015-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569540985.72,0.0,0.0,1,0
2015-02-23,26003816.95,25701867.56,24958889.37,9966956.19,735708.78,9969758.34,3739300.46,465088.89,80986.71,5123965.17,622313.02,0.0,0.0,0.0,264986.88,215792.82,0.0,67.5,6.0,0.0,0.0,61.5,0.0,0.0,0.0,301881.89,0.0,301881.89,38610608.32,22060956.86,4203605.36,2080000.0,1342796.73,2716700.55,1135601.41,52116.0,0.0,15531.41,556934409.35,0.0,0.0,0,0
2015-02-24,20643485.86,17285442.57,16472813.48,8884803.4,662609.7,5540443.71,1175897.37,168652.41,40406.89,10523867.85,771061.24,1226.74,0.0,0.0,179857.3,202084.32,0.0,2962918.63,27.0,0.0,0.0,2962891.63,0.0,0.0,0.0,395124.66,0.0,395124.66,56252002.89,13186139.28,4064879.64,4556135.52,1018791.32,13173021.79,694125.17,352181.4,457800.73,8266628.04,521325892.32,0.0,0.0,0,0
2015-02-25,29017120.4,28309174.98,27245667.79,18856917.05,920234.31,5785556.98,1334597.12,209065.98,139296.35,7292592.06,559338.9,0.0,0.0,0.0,69126.2,316917.2,0.0,383.8,2.35,0.0,0.0,381.45,25000.0,25000.0,0.0,682561.62,0.0,682561.62,68320260.49,48166842.93,7316979.61,0.0,795046.51,2926743.25,140716.93,618333.49,0.0,1567174.0,482022873.83,0.0,0.0,0,0
2015-02-26,43929005.81,22210242.4,21142571.09,10969817.15,482323.57,8552180.06,762059.7,284976.51,90998.6,34710060.02,886366.21,5770.0,0.0,455.0,114771.73,469847.77,0.0,6425707.3,163.55,0.0,0.0,6425543.75,0.0,0.0,0.0,15293056.11,14886078.65,406977.46,55329892.03,4877721.94,4129986.0,0.0,1093903.7,6426747.19,367357.01,2673120.08,1232117.97,183.22,470621987.61,0.0,0.0,0,0
2015-02-27,33199595.32,30086553.36,28562318.59,16238778.99,3354009.62,6742213.44,1859095.2,311131.4,56689.94,658970.29,936625.37,0.0,1000.0,2794.46,294199.8,246404.02,0.0,1261735.48,11249.0,0.0,0.0,1250486.48,0.0,0.0,0.0,1851306.48,0.0,1851306.48,26033356.0,5447659.14,3212917.12,0.0,1733950.95,2179426.58,6407587.1,6960061.79,0.0,20392.43,477788386.93,0.0,0.0,0,0
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477788386.93,0.0,0.0,1,0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477788386.93,0.0,0.0,1,0
2015-03-02,33054861.36,30743416.4,29985370.78,10605598.17,1248231.09,14937028.48,2613414.0,479334.08,101764.96,110583.5,680144.2,0.0,0.0,348.95,217007.69,238553.79,0.0,265.21,22.94,0.0,0.0,242.27,0.0,0.0,0.0,2311179.75,0.0,2311179.75,8598154.53,248008.35,2377571.42,0.0,225295.58,4999053.72,395178.72,230364.66,90000.0,0.0,502245141.76,0.0,0.0,0,0
2015-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502245141.76,0.0,0.0,0,1
2015-03-04,23403586.76,19792107.19,18309911.04,7371076.22,399718.22,9103729.58,940701.18,408994.67,85691.17,-39621.649999999994,1385317.8,1247.98,1000.0,2000.0,407681.56,216540.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3611478.57,0.0,3611478.57,10726076.22,147494.48,2877815.07,0.0,240659.18,6026880.14,821316.05,656923.18,0.0,91488.12,514922652.3,0.0,0.0,0,0
2015-03-05,59349122.73,21595202.34,20739165.59,9681792.33,501140.96,7964456.77,2312873.22,216150.5,62751.81,4126162.4,729874.35,0.0,0.0,0.0,119442.35,165625.35,0.0,39.55,0.0,0.0,0.0,39.55,1039.99,1039.99,0.0,37752840.85,37738502.48,14338.37,44740187.83,1340010.98,2502963.84,0.0,286635.59,3266070.81,31337603.1,2004448.24,1224.35,1230.92,529531631.62,0.0,0.0,0,0
2015-03-06,29856338.82,25522088.39,21944758.24,12405224.54,1279890.59,6900159.19,1072783.47,255720.58,30979.87,1106615.12,3256640.04,2412418.5,0.0,0.0,145757.69,156517.73,0.0,4333026.07,5.0,0.0,0.0,4333021.07,0.0,0.0,0.0,1224.36,0.0,1224.36,14042504.46,812238.26,2187317.25,2696664.3,1040550.95,4404468.24,1240640.55,311172.71,244881.0,318646.19,545345514.98,0.0,0.0,0,0
2015-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545345514.98,0.0,0.0,1,0
2015-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545345514.98,0.0,0.0,1,1
2015-03-09,-29578275.14,25068193.41,23967378.88,5478217.41,977488.62,15186446.7,1840032.51,353191.14,132002.5,29261.4,1071553.13,0.0,1000.0,0.0,109463.79,481897.39,0.0,665.7,0.0,0.0,0.0,665.7,0.0,0.0,0.0,-54647134.25,-54980990.62,333856.37,5810155.52,247734.6,2312912.95,2311509.38,137886.14,255582.92,380461.83,150494.51,0.0,13573.19,509957134.32,0.0,0.0,0,0
2015-03-10,20838336.6,20411286.97,18798641.64,5199422.14,871098.86,10236330.6,2218301.95,201549.16,70465.71,1218644.89,1216243.38,0.0,0.0,93.14,91916.58,112477.73,0.0,640.4,2.0,0.0,0.0,638.4,0.0,0.0,0.0,426409.23,0.0,426409.23,152884791.07,33142.86,7607148.08,0.0,2512552.34,131738684.42,236791.42,712231.84,9197163.59,24833.58,377910694.25,0.0,0.0,0,0
