date,Compensation of employees,Decrease in financial assets,Decrease in liabilities,Decrease in non-financial assets,Dividends,Domestic,Excise duty,Expenditure,Fixed assets,Foreign,From domestic products,From imported products,Goods and services,Grants,Import tax,Income,Income tax,Increase in financial assets,Increase in liabilities,Increase in non-financial assets,Interest,Inventories,Loans,Non-produced assets,Other expenses,Other revenues,Other taxes,Profit tax,Rent,Revenues,Sale of goods and services,Sanctions (fines and penalties),Shares and other equity,Social security,State budget balance,Subsidies,Taxes,Valuables,Value added tax,Voluntary transfers other than grants,interest,is_weekend,is_holiday
2025-06-18,39991.65,0.0,0.0,0.0,0.0,0.0,12601567.7,101842993.35,0.0,264581.01,15285477.61,27294409.72,5698349.06,4681019.98,48494.33,47929085.12,3720804.1,0.0,264581.01,2462798.86,0.0,0.0,0.0,0.0,2483376.7,4116219.03,-3888144.12,1235513.4,0.0,48193666.13,469653.8,640215.79,0.0,77765960.68,2069232475.42,8827807.47,43696555.04,0.0,29978319.63,543638.21,2462711.23,0,0
2025-06-19,61056986.45,0.0,0.0,0.0,0.0,49455071.42,2326516.93,110382079.0,0.0,656104.17,7345953.189999999,11050133.77,9807035.69,6247306.77,165284.16,42617855.8,14659884.35,0.0,50111175.59,4231430.83,0.0,0.0,0.0,0.0,2363657.4,1579430.0,4475559.17,3227105.94,0.0,92729031.39,226489.6,663180.77,0.0,25915788.63,2051580068.81,874378.45,40923920.58,0.0,16069570.03,689759.63,0.0,0,0
2025-06-20,86683880.97,888550.8,0.0,0.0,0.0,0.0,1754530.16,128355892.44,0.0,14121.39,4940386.94,7459429.37,14889524.5,4161345.13,67314.41,91037304.09,4942774.6,0.0,14121.39,12537473.04,0.0,0.0,888550.8,0.0,1034498.6,2589919.01,70176424.43,557015.56,612414.02,91939976.28,159607.61,616422.3,0.0,6179934.26,2015379523.31,3173275.71,88143345.31,0.0,10645286.15,1054406.13,147068.95,0,0
2025-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-06-23,18808034.47,0.0,0.0,50.0,0.0,-189135.48,25218296.59,73660204.69,0.0,8011460.54,6966851.76,70450028.2,12183343.1,7744127.75,1440212.77,69023577.61,5079412.87,0.0,7822325.06,8513540.47,23039713.53,0.0,0.0,50.0,1532177.79,3305247.67,-19367297.89,983817.68,0.0,76845952.67,383513.4,1254476.87,0.0,1196612.33,2018567712.33,807959.8,65553025.39,0.0,52198583.37,1174248.35,493009.05,0,0
2025-06-24,10348498.41,0.0,48219029.61,0.0,0.0,0.0,9038593.59,123579907.74,0.0,10847597.88,4356217.62,23410049.01,7920504.59,38236989.76,508376.21,62313395.36,3128296.65,5000.0,10847597.88,4061957.29,4006786.95,0.0,0.0,0.0,5281363.38,4335359.48,24107661.0,1264334.21,32.0,73160993.24,234281.07,608511.76,0.0,3009267.32,1968149977.03,3696022.76,56772523.55,0.0,18727673.04,3492534.65,0.0,0,0
2025-06-25,29838163.71,0.0,1536335.35,4854735.98,0.0,0.0,9589806.38,79050848.05,4527383.84,53975.87,3145011.42,23141370.08,6053618.97,3729444.89,577413.79,82012650.9,3451746.23,0.0,53975.87,16978662.53,0.0,0.0,0.0,327352.14,7237558.37,5298970.06,45175787.67,364901.33,428846.29,86921362.75,473975.39,559302.09,0.0,10887809.75,1976021233.73,3646693.8,75856241.52,0.0,16696575.12,1220221.47,2616624.82,0,0
2025-06-26,2652991.91,807047.49,3205830.96,17257197.77,0.0,63650069.21,1470260.52,39348202.4,12018026.03,19680082.24,2419181.13,13004333.64,3277925.49,5566138.079999999,124122.19,52623039.05,1872502.77,0.0,83330151.45,13652720.21,14076.05,0.0,0.0,5239171.74,2530759.96,7215465.59,27469664.52,332650.04,250709.81,154017435.76,5343485.0,700924.73,807047.49,3449367.01,2090691433.29,5181100.75,45224865.44,0.0,13953254.25,920346.05,0.0,0,0
2025-06-27,8279720.97,712885.25,0.0,14640677.1,0.0,0.0,-1257003.58,107946692.49,0.0,2166869.29,4040820.13,5193267.91,14204695.48,10354796.92,32825.07,121504834.29,1842295.59,10649.98,2166869.29,37562125.11,0.0,0.0,712885.25,14640677.1,6579136.64,8508054.79,95552836.59,5728050.06,1563.25,139025265.93,6405254.16,671108.99,0.0,28104975.85,2121774719.95,3457275.69,112390095.35,0.0,10491091.62,1373065.64,57062.75,0,0
2025-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-06-30,8564836.75,38011867.21,0.0,21966803.95,0.0,0.0,38926945.48,335269721.54,21966803.95,8487246.43,4402798.89,87844286.02,5149720.69,76668263.14,1493654.61,129734744.43,2814091.96,0.0,8487246.43,17091756.83,0.0,0.0,38011867.21,0.0,117666166.12,5797062.91,-35066615.19,23945109.91,15666.88,198200662.02,321620.84,1163294.0,0.0,87855894.09,2025190834.81,60777439.24,85433326.2,0.0,53320139.43,1062438.34,3234042.85,0,0
2025-07-01,728343.6,0.0,0.0,0.0,0.0,0.0,5648233.87,174371927.89,0.0,11175328.31,2269048.02,25485092.53,8658423.08,27654111.17,712477.93,62100472.9,1257246.59,0.0,11175328.31,9014456.33,282037.91,0.0,0.0,0.0,918509.07,1821729.22,28858984.34,1522253.1,196844.25,73275801.21,241045.03,607605.29,0.0,125114615.26,1883377637.19,2175072.64,60105102.51,0.0,22105906.68,714434.48,61800.17,0,0
2025-07-02,519202.81,0.0,689020.66,0.0,0.0,0.0,4866037.6,24733374.53,0.0,244350.26,1589819.23,20825693.18,5287728.96,3893139.73,547081.37,32239552.53,1047003.51,0.0,244350.26,4986713.63,483204.38,0.0,0.0,0.0,530396.46,4736692.07,2798525.86,378091.57,13622.0,32483902.79,183574.53,634813.61,0.0,6027922.37,1891129563.45,2632691.27,27186214.72,0.0,17549474.81,1428101.11,2476580.82,0,0
2025-07-03,222769.42,0.0,0.0,0.0,0.0,73046999.87,1389083.1,45298006.88,0.0,209574.57,1085631.72,17632099.900000002,6699325.35,11532022.36,435690.39,42133935.88,549956.08,0.0,73256574.44,3926172.6,0.0,0.0,0.0,0.0,2766749.15,2385276.05,19415367.11,306160.79,3712.75,115390510.32,327632.46,1059121.49,0.0,8830800.7,1961226124.39,11643913.63,39424913.5,0.0,17328648.52,987806.3,7003.05,0,0
2025-07-04,10873723.23,0.0,0.0,0.0,0.0,0.0,1780361.28,402218582.42,0.0,74274375.45,3329896.24,8399772.35,5595486.93,4672260.98,85169.88,86836330.89,1006970.2,0.0,74274375.45,5015287.68,0.0,0.0,0.0,0.0,221143108.99,6963006.58,66771450.22,219427.0,2468.17,161110706.34,296017.89,976969.79,0.0,153333826.26,1720119327.31,1645526.77,79812685.89,0.0,9949307.31,5687550.73,0.0,0,0
2025-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-07-07,103662.37,686127.86,0.0,0.0,0.0,0.0,32052286.64,79160079.83,0.0,1238375.47,4217565.65,78657254.61,8934699.17,5213927.4,1947474.73,82511249.04,1751458.31,0.0,1238375.47,6027912.29,0.0,0.0,686127.86,0.0,5674712.27,3074797.04,-7651703.14,428275.31,455.0,84435752.37,563268.41,1328794.85,0.0,37471114.25,1725402491.56,15820178.61,79350325.47,0.0,50822533.62,701103.1,481175.68,0,0
2025-07-08,302742.65,0.0,0.0,0.0,0.0,0.0,6313858.68,98253646.38,0.0,284319.3,1794141.74,21552417.57,4020880.45,4151397.54,509252.05,49476526.65,995405.59,0.0,284319.3,2541796.03,0.0,0.0,0.0,0.0,5324668.7,1325173.9,22527863.49,631407.76,100.0,49760845.95,345607.36,666428.94,0.0,79365597.08,1676927817.87,2687428.48,48010488.2,0.0,17032700.63,313037.6,0.0,0,0
2025-07-09,71380.43,0.0,71182759.2,0.0,0.0,0.0,9763011.68,146438322.24,0.0,15152.18,1585970.1800000002,23769318.27,5375155.31,6096410.350000001,401784.85,49456899.81,1236090.93,0.0,15152.18,11087623.26,32235654.87,0.0,0.0,0.0,14061779.18,4203448.57,17918950.92,254349.94,0.0,49472051.99,103677.1,807081.46,0.0,4252842.25,1579962289.37,2161703.54,45166465.09,0.0,15592276.77,814636.31,2478053.7,0,0
2025-07-10,166183.4,0.0,0.0,0.0,0.0,-19251821.65,1467051.57,27972817.35,0.0,55185.76,3452518.96,10876774.58,6872290.53,3108205.47,238168.02,57671917.95,721391.53,0.0,-19196635.89,5497752.58,3273980.5,0.0,0.0,0.0,975912.62,1337830.57,40368176.79,606987.76,66.0,38475282.06,136890.8,596875.12,0.0,3751616.2,1590465730.58,4396945.79,56264017.64,0.0,12862241.97,603998.65,0.0,0,0
2025-07-11,421024.9,0.0,6147321.44,0.0,0.0,0.0,762653.35,122291668.25,0.0,330940.38,2138121.64,7436683.88,23558785.04,-16424805.41,72025.58,84057933.51,690748.88,0.0,330940.38,5960223.35,227787.01,0.0,0.0,0.0,1226344.08,13633187.43,59649517.03,109713.29,6417.5,84388873.89,5497606.35,743947.15,0.0,99465819.59,1552563256.22,2037104.03,70096810.3,0.0,8812152.17,7385216.43,0.0,0,0
2025-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-07-14,48798.73,1311379.78,0.0,8693172.12,0.0,-17695.19,24963160.4,62626349.62,0.0,848059.04,3309336.4,77041084.42,4543223.81,6129261.2700000005,1544871.74,152088059.85,1367619.57,0.0,830363.85,14870237.52,19782304.81,0.0,1311379.78,8693172.12,2170988.35,2891336.94,65601238.46,275591.59,260870.0,162922975.6,209714.87,1372963.27,0.0,14462200.74,1652861005.06,676315.12,149139742.18,0.0,55387260.42,951020.96,96767.84,0,0
2025-07-15,106989.34,0.0,2395482.54,0.0,0.0,0.0,18512085.43,34566688.08,0.0,704525.38,143601232.77,26452559.35,6599072.11,2198543.24,440471.72,505959010.28,554215261.66,0.0,704525.38,2955805.8,163929.75,0.0,0.0,0.0,3555479.45,2698460.02,-481645556.59,260166344.96,365217.0,506663535.66,122426.36,771648.15,0.0,12487707.99,2124958692.64,4133914.25,503230313.87,0.0,151541706.69,427704.97,1011463.54,0,0
2025-07-16,73873.29,6114150.01,6544888.53,0.0,0.0,0.0,6037360.97,41630125.46,0.0,806229.5,47958871.45,21180678.11,3973004.63,5234781.05,601915.59,125568766.56,13061406.08,0.0,806229.5,9498291.41,7822542.64,0.0,6114150.01,0.0,1838623.86,4973682.12,31777668.6,5444842.68,2492.35,132489146.07,265158.77,1385158.1,0.0,6155441.98,2215839842.97,1058380.0,120025382.51,0.0,63102188.59,611590.85,2709282.05,0,0
2025-07-17,34355.44,41454.0,0.0,0.0,0.0,44924022.71,2216138.7,38990242.45,0.0,1773.82,15367719.6,12673467.579999998,3802850.66,5803995.15,355323.26,47053160.63,4445582.61,0.0,44925796.53,10350721.27,0.0,0.0,41454.0,0.0,14270457.28,3373881.85,8482286.81,1733031.97,0.0,92020411.16,146878.19,2278474.13,0.0,5194536.67,2268871941.34,155192.93,43057411.83,0.0,25825048.48,948529.53,0.0,0,0
2025-07-18,64665340.4,0.0,0.0,0.0,0.0,-12112650.61,164901.58,307656701.78,0.0,89035.62,-4130751.790000001,6703181.529999999,10138325.57,6227102.67,134408.25,127970675.65,15193911.74,0.0,-12023614.99,16372505.52,120712864.99,0.0,0.0,0.0,3709368.28,32624409.34,76595982.73,481150.18,0.0,115947060.66,146946.78,679898.36,0.0,84037793.66,2077167392.81,2161738.36,94977928.64,0.0,2407528.16,2454100.33,29343463.87,0,0
2025-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-07-21,75485292.18,0.0,0.0,0.0,0.0,0.0,39375199.42,108657237.3,0.0,3094820.77,21560604.270000003,90399719.07,14613702.83,7367209.07,1810756.1,96373440.77,5592249.24,0.0,3094820.77,1178915.69,0.0,0.0,0.0,0.0,692874.93,3521694.6,-29157345.07,2476086.2,603.5,99468261.54,209297.76,1279570.38,0.0,7603061.73,2067995616.99,1885857.23,92682069.81,0.0,72585123.92,948140.84,1084082.12,0,0
2025-07-22,9305590.05,0.0,0.0,0.0,0.0,0.0,15896641.82,36699800.71,0.0,434577.36,7864809.71,32838600.89,9693549.64,4529948.81,714476.73,52987501.18,2970916.54,0.0,434577.36,6094884.02,0.0,0.0,0.0,0.0,1457653.96,1537670.82,5838817.58,849542.1,296.0,53422078.54,243855.1,790366.74,0.0,4805779.88,2084718899.82,1185061.16,51077163.55,0.0,24806768.78,503152.98,0.0,0,0
2025-07-23,14563938.71,0.0,7449920.3,0.0,0.0,0.0,7040728.77,80545071.39,0.0,1073155.41,4938525.37,21272227.55,7203691.05,28009273.34,700188.74,32309503.17,1880649.33,0.0,1073155.41,4606388.65,134131.88,0.0,0.0,0.0,1647763.0,5898202.22,1266577.67,-3830625.1,0.0,33382658.58,148932.08,1213795.83,0.0,12120910.0,2037562329.67,4992811.85,26227543.56,0.0,19170024.15,2369003.08,2166471.23,0,0
2025-07-24,10369117.49,0.0,0.0,0.0,0.0,59278920.53,3143803.68,36362824.02,0.0,2381781.74,2942823.17,11549396.29,5838233.02,2243598.24,368550.69,39097893.95,2073169.89,2400.0,61660702.27,4990650.33,0.0,0.0,0.0,0.0,4263571.52,2047882.27,19015480.57,740518.88,0.0,100758596.22,171801.49,638743.66,0.0,5572191.88,2101979455.93,3443133.73,36689939.49,0.0,11348415.78,1237337.12,0.0,0,0
2025-07-25,34086223.92,0.0,1179232.76,2846798.32,0.0,-708780.49,477111.35,140967149.17,0.0,127374.58,4987233.430000001,3162705.64,10560859.74,6100236.21,26836.57,105856650.82,1885062.87,5000.0,-581405.91,13995144.84,40926302.21,0.0,0.0,2846798.32,17406497.55,6675978.49,88142397.39,705960.9,53.0,108122043.23,146906.46,682675.93,0.0,13126480.36,2069135097.19,3851647.11,98910196.8,0.0,7672827.72,1380419.71,4465923.39,0,0
2025-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-07-28,1242377.99,8621970.33,2582204.03,0.0,0.0,-7892380.25,25086765.89,126036889.86,0.0,1274298.32,8963786.36,74987257.89,3189095.28,2400633.04,1705314.25,43626405.26,1827472.6,6620.4,-6618081.93,2040263.36,97135830.37,0.0,8621970.33,0.0,11217208.49,2795609.92,-46731524.4,-147673.89,1897.25,45630293.66,190472.22,1423582.52,0.0,3876122.17,1988730992.64,2572697.26,40604632.81,0.0,58864278.36,642149.52,537508.41,0,0
2025-07-29,3383594.24,0.0,12219124.23,0.0,0.0,0.0,4744008.77,83265574.01,0.0,70106.44,-867281.24,19942786.65,3321765.52,3551479.23,557479.93,36449578.86,796367.54,0.0,70106.44,7455702.33,2744843.8,0.0,0.0,0.0,1673656.44,1473746.53,13888046.62,572488.6,0.0,36519685.3,169856.35,737598.15,0.0,46586625.16,1941985930.26,2414727.29,34889888.1,0.0,14331496.64,566292.03,0.0,0,0
2025-07-30,4206767.97,0.0,-1175102.59,0.0,0.0,0.0,7136146.48,27144968.9,0.0,1138914.38,5056564.52,21195498.36,9632166.02,1430949.57,500619.77,53792836.13,-874369.4,4000.0,1138914.38,6482994.28,-123291.86,0.0,0.0,0.0,1796199.78,3477311.11,24006531.19,210819.01,4641.45,54931750.51,393824.21,748974.5,0.0,1624996.46,1974843055.96,3485150.84,50095663.45,0.0,19115916.4,469903.83,1859967.12,0,0
2025-07-31,5308623.56,0.0,0.0,0.0,0.0,0.0,3351948.05,70362495.66,0.0,7605893.02,2618772.06,13507975.16,7985454.15,24732704.74,387109.57,74497505.33,1013335.44,0.0,7605893.02,12659361.55,0.0,0.0,0.0,0.0,11136807.53,5472097.84,50405178.91,703517.34,1800366.0,82103398.35,1888508.3,740788.64,0.0,5172501.36,0.0,3756561.78,68635888.48,0.0,12774799.17,1042434.9,0.0,0,0
2025-08-01,1893705.99,0.0,0.0,0.0,0.0,0.0,1230576.83,248014995.27,0.0,231405.37,2447915.02,7118442.48,6897980.68,4337030.73,176263.94,104329004.41,1425581.05,109091.81,231405.37,24660370.65,0.0,0.0,0.0,0.0,2091099.68,2925801.01,88836035.27,551859.4,127955.0,104560409.78,426639.86,887365.0,0.0,206905206.42,1838063265.91,1967615.55,100556097.16,0.0,8335780.67,1429365.36,54475.79,0,0
2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-08-04,10870703.16,938077.39,0.0,0.0,0.0,0.0,51048450.18,44108644.04,0.0,401907.41,1681025.15,103545171.69,6981183.37,4418756.01,1638198.89,72146543.88,1137339.84,0.0,401907.41,7564367.17,0.0,0.0,938077.39,0.0,5767126.9,3032826.3,-40137898.9,332326.9,30.0,73486528.68,246482.33,1496709.94,0.0,8300562.27,1867444342.42,1123499.17,68196163.57,0.0,54177746.66,1047404.63,242199.4,0,0
2025-08-05,2424885.04,0.0,0.0,0.0,0.0,0.0,3564145.11,48183369.53,0.0,27539.89,3052947.38,20809278.06,13000311.99,5312383.88,571557.41,75098079.21,1880425.74,0.0,27539.89,16323502.19,826512.03,0.0,0.0,0.0,635993.08,2285762.23,45557591.0,835120.51,214.38,75125619.1,126654.38,1530457.22,0.0,8465927.59,1894389280.36,1299250.61,72706920.1,0.0,20298080.33,628436.25,0.0,0,0
2025-08-06,2141721.91,0.0,0.0,0.0,0.0,0.0,8485368.72,183904534.38,0.0,671164.85,1692346.18,24152466.57,10169416.64,3454768.38,517894.38,45819628.63,851252.08,0.0,671164.85,5508899.72,4070099.55,0.0,0.0,0.0,8789080.54,4149301.35,14203617.32,127563.37,20.0,46490793.48,121287.71,821719.63,0.0,147094330.33,1756980317.79,2801404.69,41545139.9,0.0,17359444.03,726686.06,2479587.95,0,0
